,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
60,Bengkulu,-3.8004,102.2655,74.52,89,100,3.83,ID,2022-06-15 23:05:05,overcast clouds
61,Port Elizabeth,-33.918,25.5701,50.09,89,78,5.99,ZA,2022-06-15 23:05:06,broken clouds
62,Saint Anthony,45.0205,-93.218,75.25,61,0,9.22,US,2022-06-15 23:05:06,clear sky
63,Khandagayty,50.7333,92.05,61.7,65,40,3.02,RU,2022-06-15 23:05:06,scattered clouds
64,Portland,45.5234,-122.6762,73.47,53,75,4.61,US,2022-06-15 23:04:52,broken clouds
65,Puerto Ayora,-0.7393,-90.3518,72.55,89,42,11.01,EC,2022-06-15 23:05:07,scattered clouds
66,Ancud,-41.8697,-73.8203,46.22,88,39,3.62,CL,2022-06-15 23:05:07,scattered clouds
67,Broken Hill,-31.95,141.4333,52.03,79,5,9.73,AU,2022-06-15 23:05:07,clear sky
68,Iqaluit,63.7506,-68.5145,52.7,66,70,15.99,CA,2022-06-15 23:03:25,broken clouds
69,Faanui,-16.4833,-151.75,80.8,70,13,17.25,PF,2022-06-15 23:02:39,few clouds
70,Kyotera,-0.6156,31.5175,63.75,77,9,3.22,UG,2022-06-15 23:05:08,clear sky
71,Santa Fe,-31.6333,-60.7,62.98,69,100,1.01,AR,2022-06-15 23:02:39,light rain
72,Novita,4.9551,-76.6053,75.56,95,91,2.57,CO,2022-06-15 23:05:09,overcast clouds
73,New Norfolk,-42.7826,147.0587,45.72,93,97,1.01,AU,2022-06-15 23:05:09,overcast clouds
74,Punta Arenas,-53.15,-70.9167,44.11,65,100,23.98,CL,2022-06-15 23:02:26,overcast clouds
75,Airai,-8.9266,125.4092,60.75,86,99,4.41,TL,2022-06-15 23:05:09,overcast clouds
76,Lompoc,34.6391,-120.4579,91.02,61,0,21.0,US,2022-06-15 23:05:10,clear sky
77,Mar Del Plata,-38.0023,-57.5575,50.09,92,82,0.0,AR,2022-06-15 23:05:10,fog
78,Dongning,44.0622,131.1207,62.71,73,72,3.58,CN,2022-06-15 23:05:10,broken clouds
79,Souillac,-20.5167,57.5167,71.49,78,27,16.35,MU,2022-06-15 23:01:16,scattered clouds
80,Hermanus,-34.4187,19.2345,42.8,71,6,8.68,ZA,2022-06-15 23:05:11,clear sky
81,Buala,-8.145,159.5921,82.27,77,96,9.8,SB,2022-06-15 23:05:11,light rain
82,Paragominas,-2.9667,-47.4833,72.37,76,85,4.54,BR,2022-06-15 23:02:05,overcast clouds
83,Bighapur,26.35,80.6833,92.07,48,92,14.09,IN,2022-06-15 23:05:12,overcast clouds
84,Puerto Ayacucho,5.6639,-67.6236,76.77,86,91,0.58,VE,2022-06-15 23:05:12,overcast clouds
85,Torbay,47.6666,-52.7314,48.88,72,100,3.0,CA,2022-06-15 23:05:12,overcast clouds
86,Kugulta,45.3636,42.3889,64.98,92,100,9.78,RU,2022-06-15 23:05:13,overcast clouds
87,Saskylakh,71.9167,114.0833,46.67,44,29,5.99,RU,2022-06-15 23:05:13,scattered clouds
88,Dovolnoye,54.4958,79.6671,51.33,96,7,7.14,RU,2022-06-15 23:05:13,clear sky
