City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Umm Lajj,SA,81.93,clear sky,25.0213,37.2685,Moon light Furnished Units
498,Balatan,PH,80.62,scattered clouds,13.3211,123.2333,Bermido Mini Beach Resort
502,Westport,US,75.43,clear sky,41.1415,-73.3579,The Westport Inn
510,Marsh Harbour,BS,81.93,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
512,Beyneu,KZ,76.6,overcast clouds,45.3167,55.2,NUR
519,Sola,VU,81.32,overcast clouds,-13.8833,167.55,Leumerus Bungalows
528,Great Bend,US,86.04,clear sky,38.3645,-98.7648,Best Western Angus Inn
529,Basti,IN,89.35,broken clouds,26.8,82.7167,SPOT ON 43231 Hotel Aura Inn SPOT
532,Tessalit,ML,88.41,overcast clouds,20.1986,1.0114,
534,Kirakira,SB,82.72,broken clouds,-10.4544,161.9205,SanBiz Lodge
535,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
541,Dhidhdhoo,MV,82.96,overcast clouds,6.8833,73.1,Dhidhoo beach
545,Wenzhou,CN,75.54,overcast clouds,27.9994,120.6668,温州喜来登酒店
546,Hambantota,LK,80.06,heavy intensity rain,6.1241,81.1185,Bungalow 63
552,Akyab,MM,79.12,light rain,20.15,92.9,Hotel Memory
553,Soledad,CO,82.53,broken clouds,10.9184,-74.7646,Hospedaje descanso
558,Nisia Floresta,BR,77.38,few clouds,-6.0911,-35.2086,Rancho Crepusculo
565,Sterling,US,87.78,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
567,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
571,Kalmunai,LK,77.88,overcast clouds,7.4167,81.8167,VS Villa
572,Umarkot,PK,83.88,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
574,Yorosso,ML,83.35,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
575,Itoman,JP,77.02,heavy intensity rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
576,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
578,Bandarbeyla,SO,78.31,overcast clouds,9.4942,50.8122,JABIR HOTEL
579,Tahta,EG,84.2,clear sky,26.7693,31.5021,فندق الزيات
582,Nuevo Progreso,MX,85.53,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
591,Jacqueville,CI,78.73,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
592,Carutapera,BR,76.66,overcast clouds,-1.195,-46.02,Lidera
594,Nador,MA,82.65,clear sky,35.174,-2.9287,Hôtel La Giralda
600,Minab,IR,89.92,clear sky,27.1467,57.0801,Bam campground
604,Hermon,US,75.31,clear sky,44.8101,-68.9134,Pumpkin Patch RV Resort
612,Port Blair,IN,80.98,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
622,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
623,Bissau,GW,78.91,clear sky,11.8636,-15.5977,Hotel Ancar
628,Biak,ID,76.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
631,Moerai,PF,75.2,overcast clouds,-22.4333,-151.3333,Le Manotel
635,Mantua,IT,78.04,broken clouds,45.1667,10.7833,Hotel la Favorita
637,Santa Rosa,PH,83.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
639,Balkanabat,TM,83.93,scattered clouds,39.5108,54.3671,Nebitchi Hotel
640,Awjilah,LY,76.57,clear sky,29.1081,21.2869,المنزل
641,Basco,PH,84.9,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
646,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
649,Madang,PG,80.85,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
652,Sault Sainte Marie,CA,77.29,clear sky,46.5168,-84.3333,Comfort Inn
656,Pakokku,MM,81.99,overcast clouds,21.3333,95.1,Royal Palace Motel
658,Ajdabiya,LY,75.65,clear sky,30.7554,20.2263,Almadina Hotel
667,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
669,Moissala,TD,78.08,overcast clouds,8.3404,17.7663,
676,Manokwari,ID,79.79,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
677,Maine-Soroa,NE,85.28,scattered clouds,13.2114,12.0241,Complexe
684,Palauig,PH,83.55,overcast clouds,15.435,119.9045,Villa Raphael Resort
686,Bachaquero,VE,82.0,scattered clouds,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
687,Murgab,TM,84.6,scattered clouds,37.4966,61.9714,Wepa Nurlyýew
689,Touros,BR,75.24,few clouds,-5.1989,-35.4608,INN NEW HORIZON
691,North Branch,US,77.29,broken clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
692,Seydi,TM,84.52,clear sky,39.4816,62.9137,Seydi oteli
695,Sept-Iles,CA,78.8,scattered clouds,50.2001,-66.3821,Comfort Inn
698,Monticello,US,79.14,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
699,Puerto Lempira,HN,77.14,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
701,Kutum,SD,81.57,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
705,Sabha,LY,81.05,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
709,Abu Kamal,SY,82.53,clear sky,34.4506,40.9171,البوكمال
725,Poum,NC,78.71,clear sky,-20.2333,164.0167,
727,Amahai,ID,78.57,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
733,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
