City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Juneau,US,2022-06-14 06:21:19,58.3019,-134.4197,51.22,98,100,10.36
68,Tiksi,RU,2022-06-14 06:21:20,71.6872,128.8694,51.84,51,33,3.56
69,Vaini,TO,2022-06-14 06:21:20,-21.2,-175.2,73.56,94,20,3.44
70,Longyearbyen,SJ,2022-06-14 06:21:20,78.2186,15.6401,40.84,70,75,10.36
71,Petropavlovsk-Kamchatskiy,RU,2022-06-14 06:21:21,53.0452,158.6483,50.59,87,75,8.95
72,Rongcheng,CN,2022-06-14 06:21:21,30.634,117.8517,89.04,50,2,9.78
73,Sitka,US,2022-06-14 06:21:21,57.0531,-135.33,51.69,76,100,6.91
74,Cabo San Lucas,MX,2022-06-14 06:21:22,22.8909,-109.9124,85.3,67,4,7.0
75,Westport,US,2022-06-14 06:16:57,41.1415,-73.3579,69.62,76,0,4.61
76,Cherskiy,RU,2022-06-14 06:20:25,68.75,161.3,69.46,21,14,7.94
77,Kawalu,ID,2022-06-14 06:21:23,-7.3817,108.2082,82.78,73,69,3.85
78,La Ronge,CA,2022-06-14 06:20:39,55.1001,-105.2842,61.02,77,100,10.36
79,Cocobeach,GA,2022-06-14 06:21:23,1.0002,9.5823,75.9,90,99,9.93
80,Poya,NC,2022-06-14 06:21:23,-21.35,165.15,73.74,87,100,8.86
81,Fortuna,US,2022-06-14 06:21:24,40.5982,-124.1573,55.65,85,0,12.66
82,Port Elizabeth,ZA,2022-06-14 06:21:24,-33.918,25.5701,62.89,79,0,9.22
83,Port Hedland,AU,2022-06-14 06:21:24,-20.3167,118.5667,82.45,36,15,13.8
84,Vestmannaeyjar,IS,2022-06-14 06:21:25,63.4427,-20.2734,48.87,80,100,11.79
85,Tasiilaq,GL,2022-06-14 06:21:25,65.6145,-37.6368,37.56,98,100,17.16
86,Vauvert,FR,2022-06-14 06:21:25,43.7,4.2833,77.63,33,0,11.5
87,Pisco,PE,2022-06-14 06:21:26,-13.7,-76.2167,60.85,82,100,3.44
88,Ilulissat,GL,2022-06-14 06:21:26,69.2167,-51.1,33.82,75,100,12.66
89,Acapulco,MX,2022-06-14 06:21:26,16.8634,-99.8901,75.02,88,100,8.05
90,Lugovoy,KZ,2022-06-14 06:21:27,42.9472,72.7644,84.61,29,61,3.13
91,New Norfolk,AU,2022-06-14 06:21:27,-42.7826,147.0587,50.88,81,89,0.98
92,Kavaratti,IN,2022-06-14 06:21:06,10.5669,72.642,83.52,76,86,14.23
93,Balkanabat,TM,2022-06-14 06:22:27,39.5108,54.3671,94.75,15,99,5.1
94,Deputatskiy,RU,2022-06-14 06:22:28,69.3,139.9,64.04,35,96,5.84
95,Paracuru,BR,2022-06-14 06:22:28,-3.41,-39.0306,78.12,86,10,7.72
96,Nyrob,RU,2022-06-14 06:22:28,60.733,56.7202,66.06,39,86,3.96
97,Hasaki,JP,2022-06-14 06:22:29,35.7333,140.8333,64.8,75,100,14.7
98,Woodward,US,2022-06-14 06:22:29,36.4337,-99.3904,87.03,43,0,27.63
99,Los Llanos De Aridane,ES,2022-06-14 06:22:30,28.6585,-17.9182,64.15,83,20,8.99
100,Port Hardy,CA,2022-06-14 06:22:30,50.6996,-127.4199,50.18,87,75,5.75
101,Tuktoyaktuk,CA,2022-06-14 06:22:30,69.4541,-133.0374,34.74,82,17,8.81
102,Tagusao,PH,2022-06-14 06:22:31,9.1924,117.8141,87.17,65,68,4.52
103,Khatanga,RU,2022-06-14 06:22:31,71.9667,102.5,58.01,45,9,12.24
104,Yar-Sale,RU,2022-06-14 06:22:31,66.8333,70.8333,47.95,68,100,12.21
105,East London,ZA,2022-06-14 06:20:17,-33.0153,27.9116,65.34,55,0,6.91
106,Dolores,AR,2022-06-14 06:22:32,-36.3132,-57.6792,43.92,78,81,8.3
107,Dingle,PH,2022-06-14 06:22:32,10.9995,122.6711,89.29,60,52,6.46
108,Georgetown,MY,2022-06-14 06:22:32,5.4112,100.3354,88.95,78,40,11.5
109,Ayagoz,KZ,2022-06-14 06:22:33,47.9714,80.4392,78.49,44,72,15.84
110,Hauge,NO,2022-06-14 06:22:33,58.3436,6.2812,51.69,85,92,11.9
111,Taoudenni,ML,2022-06-14 06:22:34,22.6783,-3.9836,90.41,12,3,6.89
112,Hilo,US,2022-06-14 06:20:58,19.7297,-155.09,73.13,96,75,1.99
113,Hofn,IS,2022-06-14 06:22:34,64.2539,-15.2082,49.21,98,100,8.59
114,Nichinan,JP,2022-06-14 06:22:34,31.6,131.3667,69.48,94,100,1.19
115,Labuhan,ID,2022-06-14 06:22:35,-6.8844,112.2051,85.55,68,96,9.1
116,Mountain Home,US,2022-06-14 06:20:17,43.133,-115.6912,47.68,66,75,6.91
117,Lagoa,PT,2022-06-14 06:22:35,39.05,-27.9833,61.81,76,97,1.77
118,Yellowknife,CA,2022-06-14 06:22:35,62.456,-114.3525,51.57,66,13,3.78
119,Tarakan,ID,2022-06-14 06:22:36,3.3,117.6333,87.3,70,40,5.75
120,Upernavik,GL,2022-06-14 06:22:36,72.7868,-56.1549,29.19,89,99,6.06
121,Belyy Yar,RU,2022-06-14 06:22:36,53.6039,91.3903,80.49,50,0,2.24
122,Fallon,US,2022-06-14 06:21:47,39.4735,-118.7774,51.93,26,0,5.75
123,Provideniya,RU,2022-06-14 06:22:37,64.3833,-173.3,35.98,93,100,7.63
124,Lompoc,US,2022-06-14 06:22:37,34.6391,-120.4579,56.59,84,0,6.91
125,Sinnamary,GF,2022-06-14 06:20:10,5.3833,-52.95,75.45,87,86,3.02
126,Avarua,CK,2022-06-14 06:22:38,-21.2078,-159.775,73.45,100,100,2.3
127,Yulara,AU,2022-06-14 06:22:38,-25.2406,130.9889,73.9,22,0,6.78
128,Caravelas,BR,2022-06-14 06:22:38,-17.7125,-39.2481,72.05,66,76,11.54
129,Karachi,PK,2022-06-14 06:19:52,24.9056,67.0822,91.22,52,40,11.5
130,Margate,GB,2022-06-14 06:22:39,51.3813,1.3862,59.88,73,6,8.12
131,Kaeo,NZ,2022-06-14 06:22:39,-35.1,173.7833,55.33,74,6,7.27
132,Grand Gaube,MU,2022-06-14 06:22:39,-20.0064,57.6608,77.4,53,92,14.0
133,Vila Franca Do Campo,PT,2022-06-14 06:22:40,37.7167,-25.4333,63.19,85,74,7.61
134,Salalah,OM,2022-06-14 06:22:40,17.0151,54.0924,87.89,74,40,10.36
135,Chokurdakh,RU,2022-06-14 06:23:41,70.6333,147.9167,74.41,16,14,16.75
136,Coquimbo,CL,2022-06-14 06:23:41,-29.9533,-71.3436,51.53,81,100,3.44
137,Kodiak,US,2022-06-14 06:23:41,57.79,-152.4072,49.51,87,100,11.5
138,Kavieng,PG,2022-06-14 06:23:41,-2.5744,150.7967,83.19,72,59,10.56
139,Rauma,FI,2022-06-14 06:23:42,61.1272,21.5113,60.84,67,75,5.41
140,Pimenta Bueno,BR,2022-06-14 06:23:42,-11.6725,-61.1936,61.93,70,4,3.13
141,Rayevskiy,RU,2022-06-14 06:23:43,54.0658,54.9468,66.18,60,6,5.55
142,Leningradskiy,RU,2022-06-14 06:23:43,69.3833,178.4167,34.0,72,100,7.05
143,Faanui,PF,2022-06-14 06:23:43,-16.4833,-151.75,80.51,65,57,21.16
144,Srednekolymsk,RU,2022-06-14 06:23:44,67.45,153.6833,74.52,21,1,14.34
145,Tonantins,BR,2022-06-14 06:23:44,-2.8731,-67.8022,68.58,99,100,2.53
146,Richards Bay,ZA,2022-06-14 06:23:44,-28.783,32.0377,64.62,38,50,13.42
147,Tura,IN,2022-06-14 06:23:45,25.5198,90.2201,75.97,97,100,6.2
148,Olafsvik,IS,2022-06-14 06:23:45,64.8945,-23.7142,47.57,77,100,12.59
149,Ponta Do Sol,PT,2022-06-14 06:23:45,32.6667,-17.1,66.7,69,81,4.34
150,Rosario Do Sul,BR,2022-06-14 06:23:46,-30.2583,-54.9142,46.24,96,0,8.46
151,Svetlogorsk,BY,2022-06-14 06:23:46,52.6333,29.7333,54.72,94,79,13.8
152,Mehamn,NO,2022-06-14 06:23:46,71.0357,27.8492,42.71,84,100,6.29
153,Roebourne,AU,2022-06-14 06:23:47,-20.7833,117.1333,81.0,29,25,13.89
154,Thompson,CA,2022-06-14 06:23:47,55.7435,-97.8558,57.36,62,40,4.61
155,Cape Town,ZA,2022-06-14 06:23:47,-33.9258,18.4232,54.01,90,75,18.41
156,Porto Novo,BJ,2022-06-14 06:22:36,6.4965,2.6036,80.42,90,100,6.42
157,Axim,GH,2022-06-14 06:23:48,4.8699,-2.2405,76.5,84,58,5.55
158,Codrington,AU,2022-06-14 06:23:48,-38.2667,141.9667,55.18,62,91,18.25
159,Mae Hong Son,TH,2022-06-14 06:23:49,19.3003,97.9685,87.94,58,40,3.44
160,Pauini,BR,2022-06-14 06:23:49,-7.7136,-66.9764,65.08,92,34,2.17
161,Quatre Cocos,MU,2022-06-14 06:23:49,-20.2078,57.7625,77.11,62,86,17.92
162,Metro,ID,2022-06-14 06:23:31,-5.1131,105.3067,87.15,63,58,7.96
163,Husavik,IS,2022-06-14 06:23:36,66.0449,-17.3389,52.11,80,90,10.29
164,Kondinskoye,RU,2022-06-14 06:23:50,59.6481,67.41,49.77,86,100,8.5
165,Tromso,NO,2022-06-14 06:18:58,69.6496,18.957,49.37,87,75,11.5
166,Shelburne,CA,2022-06-14 06:23:50,44.0787,-80.2041,59.79,60,95,4.27
167,Busayra,JO,2022-06-14 06:23:51,30.7376,35.6078,68.23,48,0,6.82
168,Broome,US,2022-06-14 06:22:38,42.2506,-75.833,58.01,79,92,2.89
169,Zhangye,CN,2022-06-14 06:23:51,38.9342,100.4517,92.26,6,0,6.53
170,Guru Har Sahai,IN,2022-06-14 06:23:52,30.7167,74.4167,110.89,16,6,12.17
171,Kieta,PG,2022-06-14 06:23:52,-6.2167,155.6333,82.83,76,29,6.55
172,Tarko-Sale,RU,2022-06-14 06:23:52,64.9225,77.785,67.39,69,96,10.36
173,Okha,RU,2022-06-14 06:23:53,53.5739,142.9478,55.85,70,93,8.99
174,Erzin,TR,2022-06-14 06:23:53,36.9559,36.2,74.26,73,57,5.59
175,Kokopo,PG,2022-06-14 06:23:53,-4.352,152.2633,83.86,66,19,12.24
176,Toamasina,MG,2022-06-14 06:23:54,-18.1667,49.3833,69.8,94,75,10.36
177,Nacozari,MX,2022-06-14 06:23:54,25.3366,-108.2574,78.12,66,100,6.13
178,Dalvik,IS,2022-06-14 06:24:54,65.9702,-18.5286,53.53,80,100,10.56
179,Necochea,AR,2022-06-14 06:24:55,-38.5473,-58.7368,49.89,58,100,10.94
180,Ostrovnoy,RU,2022-06-14 06:24:55,68.0531,39.5131,48.11,81,81,5.57
181,Kot Isa Khan,IN,2022-06-14 06:24:55,30.95,75.1333,111.58,15,1,10.94
182,Baisha,CN,2022-06-14 06:24:56,26.5222,110.9311,89.08,40,83,3.31
183,Tiarei,PF,2022-06-14 06:24:56,-17.5333,-149.3333,77.02,68,15,22.55
184,Buraydah,SA,2022-06-14 06:22:07,26.326,43.975,99.05,8,0,12.3
185,Pevek,RU,2022-06-14 06:24:56,69.7008,170.3133,40.17,67,22,7.14
186,Tautira,PF,2022-06-14 06:24:57,-17.7333,-149.15,78.78,68,36,20.33
187,Kaitangata,NZ,2022-06-14 06:24:57,-46.2817,169.8464,39.9,82,87,19.35
188,Ancud,CL,2022-06-14 06:24:57,-41.8697,-73.8203,49.23,94,96,7.78
189,Whyalla,AU,2022-06-14 06:24:58,-33.0333,137.5833,66.09,39,36,21.85
190,Batagay,RU,2022-06-14 06:24:58,67.6333,134.6333,67.46,32,83,3.89
191,Lasa,IT,2022-06-14 06:24:58,46.6166,10.7002,60.69,55,1,2.59
192,Hirna,ET,2022-06-14 06:24:59,9.2167,41.1,72.7,50,99,3.85
193,Castro,BR,2022-06-14 06:24:59,-24.7911,-50.0119,40.3,98,3,3.94
194,Birjand,IR,2022-06-14 06:24:59,32.8663,59.2211,95.47,10,20,18.41
195,College,US,2022-06-14 06:25:00,64.8569,-147.8028,71.55,41,40,0.0
196,Luganville,VU,2022-06-14 06:25:00,-15.5333,167.1667,80.19,77,28,9.17
197,Kankaanpaa,FI,2022-06-14 06:25:01,61.8,22.4167,59.76,58,62,3.67
198,Punto Fijo,VE,2022-06-14 06:25:01,11.6956,-70.1996,78.4,84,65,23.49
199,Abu Zabad,SD,2022-06-14 06:25:01,12.35,29.25,83.48,53,89,17.49
200,Oranjemund,NA,2022-06-14 06:25:02,-28.55,16.4333,55.89,87,3,16.04
201,Nanortalik,GL,2022-06-14 06:25:02,60.1432,-45.2371,37.09,74,3,19.91
202,Mizdah,LY,2022-06-14 06:25:02,31.4451,12.9801,68.94,46,0,3.58
203,Torbay,CA,2022-06-14 06:25:03,47.6666,-52.7314,41.29,95,75,8.05
204,Doha,QA,2022-06-14 06:24:27,25.2867,51.5333,95.31,70,0,10.36
205,Hanna,CA,2022-06-14 06:25:01,51.6334,-111.9018,52.86,95,100,1.99
206,Makakilo City,US,2022-06-14 06:25:04,21.3469,-158.0858,79.12,68,0,17.27
207,Vulcan,RO,2022-06-14 06:25:04,45.3833,23.2667,65.32,65,58,5.12
208,Haines Junction,CA,2022-06-14 06:25:04,60.7522,-137.5108,49.95,66,100,3.44
209,Saint Anthony,US,2022-06-14 06:25:05,45.0205,-93.218,73.49,90,100,17.27
210,Bambous Virieux,MU,2022-06-14 06:25:05,-20.3428,57.7575,77.25,47,75,19.57
211,Pemangkat,ID,2022-06-14 06:25:05,1.1667,108.9667,84.38,69,100,9.53
212,San Luis,AR,2022-06-14 06:25:05,-33.295,-66.3356,50.16,34,98,6.58
213,Gdynia,PL,2022-06-14 06:25:06,54.5189,18.5319,58.87,77,40,19.57
214,Pangnirtung,CA,2022-06-14 06:25:06,66.1451,-65.7125,23.45,88,30,6.64
215,Katsuura,JP,2022-06-14 06:25:07,35.1333,140.3,64.42,77,100,14.85
216,Mlowo,TZ,2022-06-14 06:25:07,-9.0,32.9833,63.27,61,8,1.48
217,Berlevag,NO,2022-06-14 06:25:07,70.8578,29.0864,42.75,81,75,10.36
218,Aqtobe,KZ,2022-06-14 06:22:56,50.2797,57.2072,68.09,52,20,8.95
219,Clyde River,CA,2022-06-14 06:25:08,70.4692,-68.5914,34.03,93,100,3.44
220,Campeche,MX,2022-06-14 06:23:56,19.0,-90.5,75.29,92,100,4.47
221,Lander,US,2022-06-14 06:25:08,42.833,-108.7307,50.4,40,0,12.66
222,Sajanan,TN,2022-06-14 06:25:09,37.0573,9.2426,68.92,32,0,4.25
223,Ugoofaaru,MV,2022-06-14 06:25:09,5.6667,73.0,82.98,73,82,8.3
224,Gayny,RU,2022-06-14 06:26:09,60.3071,54.3241,68.29,37,76,4.45
225,Alberton,CA,2022-06-14 06:26:09,46.8168,-64.0654,59.13,99,100,10.11
226,Salisbury,GB,2022-06-14 06:26:10,51.0693,-1.7957,56.01,87,0,4.61
227,Aklavik,CA,2022-06-14 06:26:10,68.2191,-135.0107,49.28,61,100,8.5
228,Presidente Prudente,BR,2022-06-14 06:26:10,-22.1256,-51.3889,51.35,87,0,12.66
229,Maler Kotla,IN,2022-06-14 06:26:11,30.5167,75.8833,111.34,14,4,10.16
230,Saint-Joseph,RE,2022-06-14 06:26:11,-21.3667,55.6167,77.38,65,35,13.8
231,Jega,NG,2022-06-14 06:26:11,12.2175,4.3792,82.15,59,89,8.97
232,Zarnovica,SK,2022-06-14 06:26:12,48.4812,18.7157,63.52,67,99,4.56
233,Salto De Agua,MX,2022-06-14 06:26:12,17.6167,-92.3667,74.73,96,100,5.86
234,Linxia,CN,2022-06-14 06:26:12,35.6003,103.2064,80.11,19,0,6.42
235,Port Blair,IN,2022-06-14 06:26:13,11.6667,92.75,87.84,70,40,5.75
236,Hambantota,LK,2022-06-14 06:26:13,6.1241,81.1185,93.54,55,20,8.05
237,Sable-Sur-Sarthe,FR,2022-06-14 06:26:13,47.8376,-0.3329,61.93,80,97,8.95
238,San Policarpo,PH,2022-06-14 06:26:14,12.1791,125.5072,83.39,76,100,16.91
239,Bintulu,MY,2022-06-14 06:24:26,3.1667,113.0333,90.01,62,20,5.75
240,Astoria,US,2022-06-14 06:26:14,46.1879,-123.8313,52.86,90,100,9.22
241,Baker City,US,2022-06-14 06:21:22,44.7749,-117.8344,46.11,61,20,12.66
242,Leh,IN,2022-06-14 06:26:15,34.1667,77.5833,59.58,29,7,5.57
243,Roald,NO,2022-06-14 06:26:15,62.5833,6.1333,56.16,93,75,3.44
244,Paamiut,GL,2022-06-14 06:21:43,61.994,-49.6678,37.0,70,5,27.78
245,Sisimiut,GL,2022-06-14 06:26:15,66.9395,-53.6735,32.5,75,11,12.21
246,Awjilah,LY,2022-06-14 06:26:16,29.1081,21.2869,75.65,55,0,9.95
247,Whitehorse,CA,2022-06-14 06:26:16,60.7161,-135.0538,48.31,89,100,10.0
248,Singleton,AU,2022-06-14 06:26:16,-32.5667,151.1833,58.35,59,5,2.89
249,Lefka,CY,2022-06-14 06:26:17,35.1106,32.8506,74.08,62,14,0.98
250,Oistins,BB,2022-06-14 06:26:17,13.0667,-59.5333,78.89,89,20,14.97
251,Matam,SN,2022-06-14 06:26:17,15.6175,-13.3303,85.69,57,91,10.29
252,Camacha,PT,2022-06-14 06:26:18,33.0833,-16.3333,63.82,77,75,0.0
253,Sahuaripa,MX,2022-06-14 06:26:18,29.05,-109.2333,81.99,54,57,4.5
254,Kupang,ID,2022-06-14 06:26:18,-10.1667,123.5833,83.07,70,62,13.38
255,Nordby,DK,2022-06-14 06:26:19,55.446,8.3979,57.06,79,75,12.66
256,Alice Springs,AU,2022-06-14 06:26:19,-23.7,133.8833,74.75,32,0,5.75
257,Jeremie,HT,2022-06-14 06:26:19,18.65,-74.1167,78.62,81,98,5.41
258,Ust-Kalmanka,RU,2022-06-14 06:26:20,52.1207,83.305,75.27,63,100,5.64
259,Kudat,MY,2022-06-14 06:26:20,6.8837,116.8477,87.73,70,20,4.61
260,Mar Del Plata,AR,2022-06-14 06:22:11,-38.0023,-57.5575,51.1,70,0,19.57
